geoid,name,B19013001,"B19013001, Error"
04000US25,Massachusetts,70954,343
06000US2500103690,"Barnstable Town city, Barnstable County, MA",63549,2594
06000US2500107175,"Bourne town, Barnstable County, MA",70304,4293
06000US2500107980,"Brewster town, Barnstable County, MA",67340,5143
06000US2500112995,"Chatham town, Barnstable County, MA",65750,7737
06000US2500116775,"Dennis town, Barnstable County, MA",55506,5152
06000US2500119295,"Eastham town, Barnstable County, MA",57989,8076
06000US2500123105,"Falmouth town, Barnstable County, MA",68444,4546
06000US2500129020,"Harwich town, Barnstable County, MA",69730,5608
06000US2500139100,"Mashpee town, Barnstable County, MA",70995,5049
06000US2500151440,"Orleans town, Barnstable County, MA",50884,16515
06000US2500155500,"Provincetown town, Barnstable County, MA",42228,11702
06000US2500159735,"Sandwich town, Barnstable County, MA",89461,9209
06000US2500170605,"Truro town, Barnstable County, MA",62051,3153
06000US2500174385,"Wellfleet town, Barnstable County, MA",48452,13113
06000US2500182525,"Yarmouth town, Barnstable County, MA",59630,3322
06000US2500300555,"Adams town, Berkshire County, MA",48422,3201
06000US2500300975,"Alford town, Berkshire County, MA",98056,7670
06000US2500304545,"Becket town, Berkshire County, MA",70750,11200
06000US2500313345,"Cheshire town, Berkshire County, MA",58145,7069
06000US2500314010,"Clarksburg town, Berkshire County, MA",60404,4492
06000US2500316180,"Dalton town, Berkshire County, MA",55774,9264
06000US2500321360,"Egremont town, Berkshire County, MA",66081,4805
06000US2500324120,"Florida town, Berkshire County, MA",61000,9380
06000US2500326815,"Great Barrington town, Berkshire County, MA",56431,6780
06000US2500328180,"Hancock town, Berkshire County, MA",72778,13162
06000US2500330315,"Hinsdale town, Berkshire County, MA",60511,6519
06000US2500334340,"Lanesborough town, Berkshire County, MA",74519,7600
06000US2500334655,"Lee town, Berkshire County, MA",61507,8372
06000US2500334970,"Lenox town, Berkshire County, MA",55777,8372
06000US2500342460,"Monterey town, Berkshire County, MA",56146,22985
06000US2500343300,"Mount Washington town, Berkshire County, MA",65417,17608
06000US2500344385,"New Ashford town, Berkshire County, MA",82917,20924
06000US2500345420,"New Marlborough town, Berkshire County, MA",72321,11812
06000US2500346225,"North Adams city, Berkshire County, MA",32804,6857
06000US2500351580,"Otis town, Berkshire County, MA",69485,5173
06000US2500353050,"Peru town, Berkshire County, MA",67250,9786
06000US2500353960,"Pittsfield city, Berkshire County, MA",45206,2008
06000US2500356795,"Richmond town, Berkshire County, MA",93750,27421
06000US2500359665,"Sandisfield town, Berkshire County, MA",67333,9791
06000US2500360225,"Savoy town, Berkshire County, MA",49000,9669
06000US2500361065,"Sheffield town, Berkshire County, MA",68603,21603
06000US2500367595,"Stockbridge town, Berkshire County, MA",56554,5766
06000US2500371095,"Tyringham town, Berkshire County, MA",79375,12676
06000US2500373335,"Washington town, Berkshire County, MA",76094,14192
06000US2500377990,"West Stockbridge town, Berkshire County, MA",69167,11793
06000US2500379985,"Williamstown town, Berkshire County, MA",72739,8476
06000US2500380685,"Windsor town, Berkshire County, MA",76563,12508
06000US2500500520,"Acushnet town, Bristol County, MA",70375,9198
06000US2500502690,"Attleboro city, Bristol County, MA",69732,5884
06000US2500505280,"Berkley town, Bristol County, MA",95186,10756
06000US2500516425,"Dartmouth town, Bristol County, MA",69460,4269
06000US2500516950,"Dighton town, Bristol County, MA",92818,13959
06000US2500520100,"Easton town, Bristol County, MA",100028,6208
06000US2500522130,"Fairhaven town, Bristol County, MA",60407,3196
06000US2500523000,"Fall River city, Bristol County, MA",36798,1307
06000US2500525240,"Freetown town, Bristol County, MA",91618,8269
06000US2500538225,"Mansfield town, Bristol County, MA",102090,5223
06000US2500545000,"New Bedford city, Bristol County, MA",38178,1287
06000US2500546575,"North Attleborough town, Bristol County, MA",83735,5305
06000US2500549970,"Norton town, Bristol County, MA",95221,6849
06000US2500556060,"Raynham town, Bristol County, MA",85998,9954
06000US2500556375,"Rehoboth town, Bristol County, MA",90394,4753
06000US2500560645,"Seekonk town, Bristol County, MA",82094,6372
06000US2500562430,"Somerset town, Bristol County, MA",68900,4614
06000US2500568750,"Swansea town, Bristol County, MA",77531,5955
06000US2500569170,"Taunton city, Bristol County, MA",54785,3359
06000US2500577570,"Westport town, Bristol County, MA",79905,5065
06000US2500701585,"Aquinnah town, Dukes County, MA",62500,18770
06000US2500713800,"Chilmark town, Dukes County, MA",78542,24637
06000US2500721150,"Edgartown town, Dukes County, MA",70556,12833
06000US2500726325,"Gosnold town, Dukes County, MA",38750,18312
06000US2500750390,"Oak Bluffs town, Dukes County, MA",57773,32597
06000US2500769940,"Tisbury town, Dukes County, MA",46816,7642
06000US2500778235,"West Tisbury town, Dukes County, MA",85469,18543
06000US2500901260,"Amesbury Town city, Essex County, MA",75861,4373
06000US2500901465,"Andover town, Essex County, MA",134627,6226
06000US2500905595,"Beverly city, Essex County, MA",73839,3871
06000US2500907420,"Boxford town, Essex County, MA",153578,30387
06000US2500916250,"Danvers town, Essex County, MA",79913,5003
06000US2500921850,"Essex town, Essex County, MA",103750,14701
06000US2500925625,"Georgetown town, Essex County, MA",106016,11766
06000US2500926150,"Gloucester city, Essex County, MA",63917,4457
06000US2500927620,"Groveland town, Essex County, MA",96512,5329
06000US2500927900,"Hamilton town, Essex County, MA",114907,15957
06000US2500929405,"Haverhill city, Essex County, MA",62751,2535
06000US2500932310,"Ipswich town, Essex County, MA",77788,6831
06000US2500934550,"Lawrence city, Essex County, MA",36754,2416
06000US2500937490,"Lynn city, Essex County, MA",50774,1982
06000US2500937560,"Lynnfield town, Essex County, MA",117250,9072
06000US2500937995,"Manchester-by-the-Sea town, Essex County, MA",92604,17425
06000US2500938400,"Marblehead town, Essex County, MA",103148,8031
06000US2500940430,"Merrimac town, Essex County, MA",77481,18572
06000US2500940710,"Methuen Town city, Essex County, MA",72631,4332
06000US2500941095,"Middleton town, Essex County, MA",106326,11439
06000US2500943580,"Nahant town, Essex County, MA",72625,11472
06000US2500945175,"Newbury town, Essex County, MA",92454,14819
06000US2500945245,"Newburyport city, Essex County, MA",87162,5881
06000US2500946365,"North Andover town, Essex County, MA",102008,5376
06000US2500952490,"Peabody city, Essex County, MA",64071,3016
06000US2500957880,"Rockport town, Essex County, MA",68448,6940
06000US2500958405,"Rowley town, Essex County, MA",85496,6992
06000US2500959105,"Salem city, Essex County, MA",61093,3080
06000US2500959245,"Salisbury town, Essex County, MA",65347,11700
06000US2500960015,"Saugus town, Essex County, MA",78372,5171
06000US2500968645,"Swampscott town, Essex County, MA",103244,5441
06000US2500970150,"Topsfield town, Essex County, MA",128283,12557
06000US2500974595,"Wenham town, Essex County, MA",99375,17329
06000US2500977150,"West Newbury town, Essex County, MA",138947,17985
06000US2501102095,"Ashfield town, Franklin County, MA",77031,8769
06000US2501105560,"Bernardston town, Franklin County, MA",63625,3709
06000US2501109595,"Buckland town, Franklin County, MA",50407,6134
06000US2501112505,"Charlemont town, Franklin County, MA",50625,10565
06000US2501114885,"Colrain town, Franklin County, MA",54500,5816
06000US2501115200,"Conway town, Franklin County, MA",89297,17484
06000US2501116670,"Deerfield town, Franklin County, MA",80000,13754
06000US2501121780,"Erving town, Franklin County, MA",62171,12416
06000US2501125730,"Gill town, Franklin County, MA",74167,10952
06000US2501127100,"Greenfield Town city, Franklin County, MA",48724,3501
06000US2501129475,"Hawley town, Franklin County, MA",65417,16797
06000US2501129650,"Heath town, Franklin County, MA",52875,5803
06000US2501135180,"Leverett town, Franklin County, MA",86771,8268
06000US2501135285,"Leyden town, Franklin County, MA",73942,8231
06000US2501142040,"Monroe town, Franklin County, MA",31750,5688
06000US2501142285,"Montague town, Franklin County, MA",53178,7684
06000US2501145490,"New Salem town, Franklin County, MA",71375,9664
06000US2501147835,"Northfield town, Franklin County, MA",63963,9957
06000US2501151265,"Orange town, Franklin County, MA",37183,5432
06000US2501158335,"Rowe town, Franklin County, MA",52143,6336
06000US2501161135,"Shelburne town, Franklin County, MA",58287,8322
06000US2501161905,"Shutesbury town, Franklin County, MA",81406,9750
06000US2501168400,"Sunderland town, Franklin County, MA",53934,12200
06000US2501173265,"Warwick town, Franklin County, MA",56838,4319
06000US2501174525,"Wendell town, Franklin County, MA",43036,5995
06000US2501179110,"Whately town, Franklin County, MA",71927,8392
06000US2501300840,"Agawam Town city, Hampden County, MA",60201,4855
06000US2501306085,"Blandford town, Hampden County, MA",67000,7974
06000US2501308470,"Brimfield town, Hampden County, MA",83273,17084
06000US2501313485,"Chester town, Hampden County, MA",77917,11574
06000US2501313660,"Chicopee city, Hampden County, MA",49005,2446
06000US2501319645,"East Longmeadow town, Hampden County, MA",83003,5394
06000US2501326675,"Granville town, Hampden County, MA",78958,8715
06000US2501328075,"Hampden town, Hampden County, MA",80375,11277
06000US2501330665,"Holland town, Hampden County, MA",75658,6557
06000US2501330840,"Holyoke city, Hampden County, MA",38829,2888
06000US2501336300,"Longmeadow town, Hampden County, MA",107976,8707
06000US2501337175,"Ludlow town, Hampden County, MA",64537,5694
06000US2501342145,"Monson town, Hampden County, MA",74031,7047
06000US2501342530,"Montgomery town, Hampden County, MA",75500,12146
06000US2501352144,"Palmer Town city, Hampden County, MA",55343,7288
06000US2501358650,"Russell town, Hampden County, MA",70045,4375
06000US2501365825,"Southwick town, Hampden County, MA",76576,7429
06000US2501367000,"Springfield city, Hampden County, MA",35742,1322
06000US2501370045,"Tolland town, Hampden County, MA",84500,10442
06000US2501372390,"Wales town, Hampden County, MA",51351,8809
06000US2501376030,"Westfield city, Hampden County, MA",62969,3753
06000US2501377890,"West Springfield Town city, Hampden County, MA",50649,4263
06000US2501379740,"Wilbraham town, Hampden County, MA",96076,11407
06000US2501501325,"Amherst town, Hampshire County, MA",45999,4361
06000US2501504825,"Belchertown town, Hampshire County, MA",80502,6457
06000US2501513590,"Chesterfield town, Hampshire County, MA",66500,9235
06000US2501516040,"Cummington town, Hampshire County, MA",51731,5917
06000US2501519370,"Easthampton Town city, Hampshire County, MA",58552,5833
06000US2501526290,"Goshen town, Hampshire County, MA",74432,6917
06000US2501526535,"Granby town, Hampshire County, MA",86692,5770
06000US2501527690,"Hadley town, Hampshire County, MA",62634,8903
06000US2501529265,"Hatfield town, Hampshire County, MA",64427,6209
06000US2501531785,"Huntington town, Hampshire County, MA",68958,13504
06000US2501540990,"Middlefield town, Hampshire County, MA",78750,23757
06000US2501546330,"Northampton city, Hampshire County, MA",61813,2950
06000US2501552560,"Pelham town, Hampshire County, MA",91518,6758
06000US2501554030,"Plainfield town, Hampshire County, MA",54886,6038
06000US2501562745,"Southampton town, Hampshire County, MA",90318,12665
06000US2501564145,"South Hadley town, Hampshire County, MA",62004,5306
06000US2501572880,"Ware town, Hampshire County, MA",49678,5759
06000US2501576380,"Westhampton town, Hampshire County, MA",82788,7264
06000US2501579915,"Williamsburg town, Hampshire County, MA",71705,12617
06000US2501582175,"Worthington town, Hampshire County, MA",74500,8180
06000US2501700380,"Acton town, Middlesex County, MA",131099,5833
06000US2501701605,"Arlington town, Middlesex County, MA",98103,5671
06000US2501701955,"Ashby town, Middlesex County, MA",89934,10597
06000US2501702130,"Ashland town, Middlesex County, MA",103700,8694
06000US2501703005,"Ayer town, Middlesex County, MA",77112,8445
06000US2501704615,"Bedford town, Middlesex County, MA",117688,15147
06000US2501705070,"Belmont town, Middlesex County, MA",114141,7346
06000US2501705805,"Billerica town, Middlesex County, MA",100484,4887
06000US2501707350,"Boxborough town, Middlesex County, MA",103556,7549
06000US2501709840,"Burlington town, Middlesex County, MA",92141,4821
06000US2501711000,"Cambridge city, Middlesex County, MA",83122,3420
06000US2501711525,"Carlisle town, Middlesex County, MA",167400,26684
06000US2501713135,"Chelmsford town, Middlesex County, MA",102160,5314
06000US2501715060,"Concord town, Middlesex County, MA",138661,14066
06000US2501717475,"Dracut town, Middlesex County, MA",86716,8379
06000US2501717825,"Dunstable town, Middlesex County, MA",118984,8458
06000US2501721990,"Everett city, Middlesex County, MA",52457,3167
06000US2501724925,"Framingham town, Middlesex County, MA",70706,2788
06000US2501727480,"Groton town, Middlesex County, MA",117500,7614
06000US2501730700,"Holliston town, Middlesex County, MA",110295,5398
06000US2501731085,"Hopkinton town, Middlesex County, MA",143190,8920
06000US2501731540,"Hudson town, Middlesex County, MA",80574,6345
06000US2501735215,"Lexington town, Middlesex County, MA",152872,8841
06000US2501735425,"Lincoln town, Middlesex County, MA",130870,13693
06000US2501735950,"Littleton town, Middlesex County, MA",108704,10643
06000US2501737000,"Lowell city, Middlesex County, MA",46972,1988
06000US2501737875,"Malden city, Middlesex County, MA",60085,3121
06000US2501738715,"Marlborough city, Middlesex County, MA",72222,3947
06000US2501739625,"Maynard town, Middlesex County, MA",90134,12675
06000US2501739835,"Medford city, Middlesex County, MA",79607,3039
06000US2501740115,"Melrose city, Middlesex County, MA",87712,6572
06000US2501743895,"Natick town, Middlesex County, MA",104372,4112
06000US2501745560,"Newton city, Middlesex County, MA",127402,4192
06000US2501748955,"North Reading town, Middlesex County, MA",119933,10809
06000US2501752805,"Pepperell town, Middlesex County, MA",84980,6914
06000US2501756130,"Reading town, Middlesex County, MA",108894,6492
06000US2501761380,"Sherborn town, Middlesex County, MA",158250,18949
06000US2501761590,"Shirley town, Middlesex County, MA",68864,9754
06000US2501762535,"Somerville city, Middlesex County, MA",78673,3002
06000US2501767665,"Stoneham town, Middlesex County, MA",83783,6346
06000US2501768050,"Stow town, Middlesex County, MA",146799,21475
06000US2501768260,"Sudbury town, Middlesex County, MA",164013,7826
06000US2501769415,"Tewksbury town, Middlesex County, MA",92897,4773
06000US2501770360,"Townsend town, Middlesex County, MA",82519,5122
06000US2501771025,"Tyngsborough town, Middlesex County, MA",99325,18434
06000US2501772215,"Wakefield town, Middlesex County, MA",90911,5281
06000US2501772600,"Waltham city, Middlesex County, MA",82188,3694
06000US2501773440,"Watertown Town city, Middlesex County, MA",92050,4349
06000US2501773790,"Wayland town, Middlesex County, MA",157500,13145
06000US2501776135,"Westford town, Middlesex County, MA",130739,10983
06000US2501777255,"Weston town, Middlesex County, MA",191744,13685
06000US2501780230,"Wilmington town, Middlesex County, MA",102301,6192
06000US2501780510,"Winchester town, Middlesex County, MA",149321,13377
06000US2501781035,"Woburn city, Middlesex County, MA",83872,5783
06000US2501943790,"Nantucket town, Nantucket County, MA",89428,7915
06000US2502102935,"Avon town, Norfolk County, MA",68021,7999
06000US2502104930,"Bellingham town, Norfolk County, MA",90630,5857
06000US2502107740,"Braintree Town city, Norfolk County, MA",85863,4364
06000US2502109175,"Brookline town, Norfolk County, MA",102175,5035
06000US2502111315,"Canton town, Norfolk County, MA",93672,6439
06000US2502114640,"Cohasset town, Norfolk County, MA",128224,19662
06000US2502116495,"Dedham town, Norfolk County, MA",87108,5019
06000US2502117405,"Dover town, Norfolk County, MA",189265,21304
06000US2502124820,"Foxborough town, Norfolk County, MA",95665,4635
06000US2502125172,"Franklin Town city, Norfolk County, MA",108815,6951
06000US2502130455,"Holbrook town, Norfolk County, MA",67508,6237
06000US2502139765,"Medfield town, Norfolk County, MA",147630,13348
