geoid,name,B19013001,"B19013001, Error"
06000US2502139975,"Medway town, Norfolk County, MA",109865,7969
06000US2502141515,"Millis town, Norfolk County, MA",97591,13092
06000US2502141690,"Milton town, Norfolk County, MA",122516,5558
06000US2502144105,"Needham town, Norfolk County, MA",139477,12286
06000US2502146050,"Norfolk town, Norfolk County, MA",138452,13161
06000US2502150250,"Norwood town, Norfolk County, MA",83883,3444
06000US2502154100,"Plainville town, Norfolk County, MA",92014,6323
06000US2502155745,"Quincy city, Norfolk County, MA",64890,2266
06000US2502155955,"Randolph town, Norfolk County, MA",65316,3508
06000US2502160785,"Sharon town, Norfolk County, MA",127500,10738
06000US2502167945,"Stoughton town, Norfolk County, MA",75109,4468
06000US2502172495,"Walpole town, Norfolk County, MA",99102,6073
06000US2502174175,"Wellesley town, Norfolk County, MA",171719,12014
06000US2502178690,"Westwood town, Norfolk County, MA",140355,16254
06000US2502178972,"Weymouth Town city, Norfolk County, MA",69744,3153
06000US2502182315,"Wrentham town, Norfolk County, MA",99924,9324
06000US2502300170,"Abington town, Plymouth County, MA",76989,5595
06000US2502308085,"Bridgewater town, Plymouth County, MA",85992,7361
06000US2502309000,"Brockton city, Plymouth County, MA",49956,1833
06000US2502311665,"Carver town, Plymouth County, MA",75260,5156
06000US2502317895,"Duxbury town, Plymouth County, MA",119428,6963
06000US2502318455,"East Bridgewater town, Plymouth County, MA",82823,8312
06000US2502327795,"Halifax town, Plymouth County, MA",73119,13146
06000US2502328285,"Hanover town, Plymouth County, MA",105635,9240
06000US2502328495,"Hanson town, Plymouth County, MA",93517,6569
06000US2502330210,"Hingham town, Plymouth County, MA",118148,13567
06000US2502331645,"Hull town, Plymouth County, MA",78114,7514
06000US2502333220,"Kingston town, Plymouth County, MA",88694,11510
06000US2502333920,"Lakeville town, Plymouth County, MA",93691,4922
06000US2502338540,"Marion town, Plymouth County, MA",75449,5366
06000US2502338855,"Marshfield town, Plymouth County, MA",85918,10444
06000US2502339450,"Mattapoisett town, Plymouth County, MA",84489,13966
06000US2502340850,"Middleborough town, Plymouth County, MA",76961,6389
06000US2502350145,"Norwell town, Plymouth County, MA",114560,8123
06000US2502352630,"Pembroke town, Plymouth County, MA",93075,5898
06000US2502354310,"Plymouth town, Plymouth County, MA",80905,3154
06000US2502354415,"Plympton town, Plymouth County, MA",84602,16495
06000US2502357600,"Rochester town, Plymouth County, MA",103081,6165
06000US2502357775,"Rockland town, Plymouth County, MA",70750,9300
06000US2502360330,"Scituate town, Plymouth County, MA",107807,11053
06000US2502372985,"Wareham town, Plymouth County, MA",65641,4684
06000US2502375260,"West Bridgewater town, Plymouth County, MA",80709,4548
06000US2502379530,"Whitman town, Plymouth County, MA",75898,5774
06000US2502507000,"Boston city, Suffolk County, MA",58516,1125
06000US2502513205,"Chelsea city, Suffolk County, MA",49614,3435
06000US2502556585,"Revere city, Suffolk County, MA",51482,2010
06000US2502581005,"Winthrop Town city, Suffolk County, MA",62997,5776
06000US2502701885,"Ashburnham town, Worcester County, MA",86219,9732
06000US2502702480,"Athol town, Worcester County, MA",47642,5341
06000US2502702760,"Auburn town, Worcester County, MA",71522,3540
06000US2502703740,"Barre town, Worcester County, MA",67500,9338
06000US2502705490,"Berlin town, Worcester County, MA",97614,14700
06000US2502706015,"Blackstone town, Worcester County, MA",75544,4626
06000US2502706365,"Bolton town, Worcester County, MA",151023,10723
06000US2502707525,"Boylston town, Worcester County, MA",93197,9198
06000US2502709105,"Brookfield town, Worcester County, MA",63906,11544
06000US2502712715,"Charlton town, Worcester County, MA",92227,7276
06000US2502714395,"Clinton town, Worcester County, MA",60755,5900
06000US2502717300,"Douglas town, Worcester County, MA",90020,7572
06000US2502717685,"Dudley town, Worcester County, MA",62567,6013
06000US2502718560,"East Brookfield town, Worcester County, MA",80714,11236
06000US2502723875,"Fitchburg city, Worcester County, MA",50617,3746
06000US2502725485,"Gardner city, Worcester County, MA",46410,2348
06000US2502726430,"Grafton town, Worcester County, MA",96277,5067
06000US2502728740,"Hardwick town, Worcester County, MA",56216,6282
06000US2502728950,"Harvard town, Worcester County, MA",131719,16261
06000US2502730560,"Holden town, Worcester County, MA",100599,3607
06000US2502730945,"Hopedale town, Worcester County, MA",99792,16478
06000US2502731435,"Hubbardston town, Worcester County, MA",84803,7281
06000US2502734165,"Lancaster town, Worcester County, MA",93750,17838
06000US2502734795,"Leicester town, Worcester County, MA",72637,11214
06000US2502735075,"Leominster city, Worcester County, MA",56510,4143
06000US2502737420,"Lunenburg town, Worcester County, MA",89706,9155
06000US2502740255,"Mendon town, Worcester County, MA",121298,14656
06000US2502741165,"Milford town, Worcester County, MA",72750,5823
06000US2502741340,"Millbury town, Worcester County, MA",72566,7723
06000US2502741585,"Millville town, Worcester County, MA",91250,9567
06000US2502745105,"New Braintree town, Worcester County, MA",81389,8334
06000US2502746820,"Northborough town, Worcester County, MA",110147,5474
06000US2502746925,"Northbridge town, Worcester County, MA",73464,6254
06000US2502747135,"North Brookfield town, Worcester County, MA",70873,6371
06000US2502750670,"Oakham town, Worcester County, MA",85052,5112
06000US2502751825,"Oxford town, Worcester County, MA",64616,7008
06000US2502752420,"Paxton town, Worcester County, MA",93654,11922
06000US2502753120,"Petersham town, Worcester County, MA",65774,6654
06000US2502753225,"Phillipston town, Worcester County, MA",73750,5584
06000US2502755395,"Princeton town, Worcester County, MA",121500,16922
06000US2502758580,"Royalston town, Worcester County, MA",68068,10937
06000US2502758825,"Rutland town, Worcester County, MA",95347,17455
06000US2502761800,"Shrewsbury town, Worcester County, MA",98790,6228
06000US2502763165,"Southborough town, Worcester County, MA",145455,9634
06000US2502763345,"Southbridge Town city, Worcester County, MA",48762,2816
06000US2502766105,"Spencer town, Worcester County, MA",65858,7053
06000US2502767385,"Sterling town, Worcester County, MA",104187,20721
06000US2502768155,"Sturbridge town, Worcester County, MA",85000,15958
06000US2502768610,"Sutton town, Worcester County, MA",99580,9614
06000US2502769275,"Templeton town, Worcester County, MA",67515,10963
06000US2502771480,"Upton town, Worcester County, MA",116250,8319
06000US2502771620,"Uxbridge town, Worcester County, MA",88750,9968
06000US2502773090,"Warren town, Worcester County, MA",51882,18230
06000US2502773895,"Webster town, Worcester County, MA",51229,3364
06000US2502775015,"Westborough town, Worcester County, MA",106915,7354
06000US2502775155,"West Boylston town, Worcester County, MA",74005,3970
06000US2502775400,"West Brookfield town, Worcester County, MA",62969,10907
06000US2502777010,"Westminster town, Worcester County, MA",96953,8297
06000US2502780405,"Winchendon town, Worcester County, MA",61998,8360
06000US2502782000,"Worcester city, Worcester County, MA",45599,1541
