geoid,name,B01003001,"B01003001, Error"
06000US2500974595,"Wenham town, Essex County, MA",5135,24
06000US2500977150,"West Newbury town, Essex County, MA",4484,18
06000US2501102095,"Ashfield town, Franklin County, MA",1609,161
06000US2501105560,"Bernardston town, Franklin County, MA",2160,159
06000US2501109595,"Buckland town, Franklin County, MA",1796,204
06000US2501112505,"Charlemont town, Franklin County, MA",1173,129
06000US2501114885,"Colrain town, Franklin County, MA",1682,169
06000US2501115200,"Conway town, Franklin County, MA",1783,191
06000US2501116670,"Deerfield town, Franklin County, MA",5054,21
06000US2501121780,"Erving town, Franklin County, MA",1871,151
06000US2501125730,"Gill town, Franklin County, MA",1656,236
06000US2501127100,"Greenfield Town city, Franklin County, MA",17477,25
06000US2501129475,"Hawley town, Franklin County, MA",426,77
06000US2501129650,"Heath town, Franklin County, MA",730,146
06000US2501135180,"Leverett town, Franklin County, MA",1972,131
06000US2501135285,"Leyden town, Franklin County, MA",691,78
06000US2501142040,"Monroe town, Franklin County, MA",95,28
06000US2501142285,"Montague town, Franklin County, MA",8325,25
06000US2501145490,"New Salem town, Franklin County, MA",1012,99
06000US2501147835,"Northfield town, Franklin County, MA",3006,18
06000US2501151265,"Orange town, Franklin County, MA",7709,19
06000US2501158335,"Rowe town, Franklin County, MA",477,74
06000US2501161135,"Shelburne town, Franklin County, MA",1826,174
06000US2501161905,"Shutesbury town, Franklin County, MA",1802,142
06000US2501168400,"Sunderland town, Franklin County, MA",3673,16
06000US2501173265,"Warwick town, Franklin County, MA",742,91
06000US2501174525,"Wendell town, Franklin County, MA",813,87
06000US2501179110,"Whately town, Franklin County, MA",1356,192
06000US2501300840,"Agawam Town city, Hampden County, MA",28701,50
06000US2501306085,"Blandford town, Hampden County, MA",1164,120
06000US2501308470,"Brimfield town, Hampden County, MA",3718,30
06000US2501313485,"Chester town, Hampden County, MA",1564,170
06000US2501313660,"Chicopee city, Hampden County, MA",56100,63
06000US2501319645,"East Longmeadow town, Hampden County, MA",16063,26
